Id,year_built,stories,num_bedrooms,full_bathrooms,half_bathrooms,livable_sqft,total_sqft,garage_type,garage_sqft,carport_sqft,has_fireplace,has_pool,has_central_heating,has_central_cooling,house_number,street_name,unit_number,city,zip_code,sale_price
1108,2014,1,3,2,0,1822,1879,attached,420,0,FALSE,FALSE,TRUE,TRUE,4792,Johnson Trail,,Davidfort,10701,435962
1109,2015,2,4,3,0,2530,2666,attached,673,0,FALSE,FALSE,TRUE,TRUE,56596,Johnson Trail,,Davidfort,10701,465574
1110,2014,1,3,2,0,1625,1803,attached,425,0,FALSE,FALSE,TRUE,TRUE,4662,Boyle Brooks,,Davidfort,10701,393124
1111,2015,2,4,4,0,2622,2723,attached,600,0,FALSE,FALSE,TRUE,TRUE,906,Johnson Coves,,Davidfort,10701,471238
1112,2014,2,5,3,0,2247,2345,attached,442,0,FALSE,FALSE,TRUE,TRUE,1111,Johnson Coves,,Davidfort,10701,437221
1113,2015,1,3,2,0,1532,1637,attached,432,0,FALSE,FALSE,TRUE,TRUE,32272,Rodriguez Stravenue,,Davidfort,10701,370443
1114,2016,1,3,2,0,1532,1640,attached,434,0,FALSE,FALSE,TRUE,TRUE,303,Kari Coves,,Davidfort,10701,390603
1115,2013,2,4,2,1,2389,2383,attached,481,0,TRUE,FALSE,TRUE,TRUE,92964,Henson Field,,Port Andrealand,11467,505264
1116,1979,1,3,1,1,2118,2122,attached,451,0,TRUE,TRUE,TRUE,TRUE,509,Pam Overpass,,Chadstad,11081,541804
1117,2015,1,4,2,1,2787,3153,attached,598,0,FALSE,FALSE,TRUE,TRUE,37368,Norman Viaduct,,Amystad,11682,531720
1118,2016,2,5,3,0,3403,3582,attached,655,0,FALSE,FALSE,TRUE,TRUE,228,Norman Viaduct,,Amystad,11682,499589
1119,2015,2,5,3,0,3412,3576,attached,656,0,FALSE,FALSE,TRUE,TRUE,1968,Julie Lodge,,Amystad,11682,481323
1120,2014,1,2,1,1,1492,1815,attached,438,0,FALSE,FALSE,TRUE,TRUE,33869,Wright Pass,,Lewishaven,11980,371699
1121,2015,1,2,1,1,1488,1819,attached,437,0,FALSE,FALSE,TRUE,TRUE,49437,Wright Pass,,Lewishaven,11980,377999
1122,1972,1,3,2,0,1434,1445,none,0,586,FALSE,FALSE,TRUE,FALSE,1493,Johnson Ville,1136,Jeffreyhaven,11558,22051
1123,2015,1,2,1,1,1739,1900,attached,416,0,TRUE,FALSE,TRUE,TRUE,90,Ramos Ways,,South Anthony,10984,315632
1124,2014,2,3,2,1,2767,3022,attached,502,0,TRUE,FALSE,TRUE,TRUE,449,Rich Summit,,South Anthony,10984,404460
1125,2015,1,3,2,0,1905,1942,attached,525,0,FALSE,FALSE,TRUE,TRUE,19739,Wagner Gateway,,South Anthony,10984,365404
1126,2014,1,2,2,0,2100,2137,attached,551,0,TRUE,FALSE,TRUE,TRUE,699,John Loaf,,South Anthony,10984,357214
1127,2015,1,3,2,0,1949,2162,attached,427,0,TRUE,TRUE,TRUE,TRUE,87413,Williams Squares,,East Amychester,11205,500848
1128,2015,1,3,3,0,2100,2309,attached,482,0,TRUE,TRUE,TRUE,TRUE,838,Booker Pines,,East Amychester,11205,576450
1129,2014,1,2,2,0,1863,2039,attached,431,0,TRUE,TRUE,TRUE,TRUE,978,Booker Pines,,East Amychester,11205,534244
1130,2015,1,3,2,0,1951,2163,attached,428,0,TRUE,TRUE,TRUE,TRUE,858,Booker Pines,,East Amychester,11205,527938
1131,2016,1,3,3,0,2100,2308,attached,478,0,TRUE,TRUE,TRUE,TRUE,50314,Booker Pines,,East Amychester,11205,584641
1132,2011,2,3,2,1,2186,2188,attached,441,0,FALSE,TRUE,TRUE,TRUE,1763,Molly Lodge,,Lake Jack,10825,1023116
1133,2013,2,3,2,1,2179,2183,attached,441,0,FALSE,TRUE,TRUE,TRUE,21428,Stone Orchard,,Lake Jack,10825,1055880
1134,2012,1,3,2,1,1952,2046,attached,458,0,TRUE,TRUE,TRUE,TRUE,8517,Diana Mountains,,Lewishaven,11071,529204
1135,1970,1,2,1,1,1245,1243,none,0,547,FALSE,FALSE,TRUE,TRUE,535,Jordan Points,2587,Jeffreyhaven,11558,20789
1136,2015,2,4,4,0,2888,2924,attached,510,0,TRUE,FALSE,TRUE,TRUE,8376,Jessica Cliffs,,Port Andrealand,11467,640712
1137,2014,2,4,3,0,2794,2873,attached,415,0,TRUE,FALSE,TRUE,TRUE,818,Jessica Cliffs,,Port Andrealand,11467,692368
1138,2014,2,4,4,0,3081,3077,attached,575,0,TRUE,FALSE,TRUE,TRUE,59584,Rodriguez Station,,Port Andrealand,11467,629374
1139,2014,2,4,3,0,2794,2879,attached,415,0,TRUE,FALSE,TRUE,TRUE,17145,Rodriguez Station,,Port Andrealand,11467,591568
1140,2015,1,3,2,1,2823,3067,attached,603,0,TRUE,FALSE,TRUE,TRUE,3777,Griffin Parkway,,Coletown,11631,853653
1141,2014,2,5,3,1,3918,4333,attached,681,0,TRUE,FALSE,TRUE,TRUE,96106,Jennifer Bridge,,Coletown,11631,950041
1142,2014,2,5,3,0,3812,4062,attached,661,0,TRUE,FALSE,TRUE,TRUE,65124,Dawn Ports,,Coletown,11631,798213
1143,2015,2,5,3,0,3802,4066,attached,667,0,TRUE,FALSE,TRUE,TRUE,3521,Macdonald Trail,,Coletown,11631,796952
1144,2014,2,4,3,0,2800,2819,attached,486,0,TRUE,FALSE,TRUE,TRUE,289,Macdonald Trail,,Coletown,11631,699302
1145,2015,1,4,2,1,2688,3151,attached,543,0,TRUE,FALSE,TRUE,TRUE,6256,Smith Green,,Coletown,11631,768600
1146,2016,2,5,3,1,3633,4048,attached,681,0,TRUE,FALSE,TRUE,TRUE,9595,Brooks Brooks,,Coletown,11631,880741
1147,2014,2,5,3,1,4625,5205,attached,715,0,TRUE,FALSE,TRUE,TRUE,2764,Boyd Shore,,Coletown,11631,1017449
1148,2015,2,3,2,1,2265,2576,attached,497,0,TRUE,FALSE,TRUE,TRUE,2279,Wilkerson Summit,,Chadstad,11081,555030
1149,2016,2,3,2,1,2274,2573,attached,502,0,TRUE,FALSE,TRUE,TRUE,74607,Wilkerson Summit,,Chadstad,11081,560070
1150,2015,2,3,3,0,2299,2603,attached,445,0,TRUE,FALSE,TRUE,TRUE,1921,Wilkerson Summit,,Chadstad,11081,535498
1151,2014,2,4,2,1,3184,3393,attached,690,0,FALSE,FALSE,TRUE,TRUE,1335,Henry Tunnel,,Davidfort,11176,507781
1152,2016,2,5,4,1,4255,4368,attached,594,0,FALSE,FALSE,TRUE,TRUE,17,Tina Vista,,Davidfort,10701,618029
1153,1995,1,3,2,0,2371,2608,attached,654,0,TRUE,TRUE,TRUE,TRUE,1098,Samantha Port,,Morrisport,10924,913496
1154,1999,1,4,3,0,3189,3700,attached,637,0,TRUE,TRUE,TRUE,TRUE,56215,Glover Courts,,Morrisport,10924,1266298
1155,2015,2,3,2,1,2531,2623,attached,425,0,TRUE,FALSE,TRUE,TRUE,9895,Kurt Burgs,,Coletown,11631,607954
1156,2015,2,3,2,1,2819,3000,attached,437,0,TRUE,FALSE,TRUE,TRUE,94130,Kurt Burgs,,Coletown,11631,606056
1157,2015,1,2,2,0,2058,2341,attached,436,0,TRUE,TRUE,TRUE,TRUE,281,Nathan Extension,,Lake Jack,10825,953191
1158,2016,1,2,2,0,1972,2216,attached,437,0,TRUE,TRUE,TRUE,TRUE,1939,Nathan Extension,,Lake Jack,10825,842944
1159,2015,1,3,2,1,2316,2534,attached,429,0,TRUE,TRUE,TRUE,TRUE,66993,Flores Roads,,Lake Jack,10825,855541
1160,2014,2,5,3,0,2920,3010,attached,423,0,FALSE,FALSE,TRUE,TRUE,30366,Alexander Isle,,Chadstad,11081,602909
1161,2015,1,4,2,0,1857,1896,attached,420,0,FALSE,FALSE,TRUE,TRUE,5519,Alexander Isle,,Chadstad,11081,483209
1162,2016,1,4,3,0,2660,2690,attached,611,0,FALSE,FALSE,TRUE,TRUE,646,Levine Springs,,Chadstad,11081,602913
1163,2014,1,4,3,0,2879,2899,attached,406,0,FALSE,FALSE,TRUE,TRUE,9750,Sharon Corners,,Chadstad,11081,577714
1164,2014,2,4,2,1,3022,3090,attached,597,0,FALSE,FALSE,TRUE,TRUE,73974,Alvarez Avenue,,Chadstad,11081,590936
1165,2014,1,4,3,0,2870,2901,attached,401,0,FALSE,FALSE,TRUE,TRUE,748,Sharon Corners,,Chadstad,11081,596610
1166,2015,2,4,2,1,3026,3182,attached,598,0,FALSE,FALSE,TRUE,TRUE,78420,Spencer Oval,,Chadstad,11081,633783
1167,2015,1,4,3,0,2660,2695,attached,430,0,FALSE,FALSE,TRUE,TRUE,37773,Spencer Oval,,Chadstad,11081,549988
1168,2016,1,4,3,0,2870,2892,attached,406,0,FALSE,FALSE,TRUE,TRUE,1958,Spencer Oval,,Chadstad,11081,614881
1169,2016,1,3,2,0,1856,1893,attached,421,0,FALSE,FALSE,TRUE,TRUE,21,Williams Bypass,,Chadstad,11081,485097
1170,2016,1,3,2,0,1693,1733,attached,424,0,FALSE,FALSE,TRUE,TRUE,3284,Williams Bypass,,Chadstad,11081,444781
1171,2016,2,4,2,1,2518,2558,attached,418,0,FALSE,FALSE,TRUE,TRUE,8805,Williams Bypass,,Chadstad,11081,520378
1172,2016,1,3,2,0,1704,1738,attached,424,0,FALSE,FALSE,TRUE,TRUE,780,Williams Bypass,,Chadstad,11081,429029
1173,2015,2,5,3,0,2923,3005,attached,423,0,FALSE,FALSE,TRUE,TRUE,403,Williams Bypass,,Chadstad,11081,511564
1174,2015,2,5,3,0,2521,2563,attached,423,0,FALSE,FALSE,TRUE,TRUE,5836,Alexander Isle,,Chadstad,11081,546839
1175,2017,1,4,2,0,1853,1885,attached,421,0,FALSE,FALSE,TRUE,TRUE,7660,Alexander Isle,,Chadstad,11081,485097
1176,2014,1,3,2,0,1695,1731,attached,425,0,FALSE,FALSE,TRUE,TRUE,159,Williams Bypass,,Chadstad,11081,463676
1177,1977,1,2,2,0,1446,1442,none,0,604,FALSE,FALSE,TRUE,TRUE,535,Jordan Points,2982,Jeffreyhaven,11558,18267
1178,2000,2,2,2,0,811,2757,none,0,0,FALSE,FALSE,FALSE,FALSE,169,Johnston Summit,,West Lydia,10569,472499
1179,2016,2,2,2,1,1222,1235,attached,436,0,FALSE,FALSE,TRUE,TRUE,5848,Richardson Throughway,,Port Andrealand,11295,357207
1180,2016,2,3,2,1,1554,1567,attached,449,0,FALSE,FALSE,TRUE,TRUE,77716,Richardson Throughway,,Port Andrealand,11295,409498
1181,2016,2,3,2,1,1557,1565,attached,449,0,FALSE,FALSE,TRUE,TRUE,177,Richardson Throughway,,Port Andrealand,11295,445414
1182,2014,2,2,2,1,1212,1237,attached,435,0,FALSE,FALSE,TRUE,TRUE,167,Richardson Throughway,,Port Andrealand,11295,360357
1183,2016,2,2,2,1,1222,1236,attached,434,0,FALSE,FALSE,TRUE,TRUE,979,Richardson Throughway,,Port Andrealand,11295,361621
1184,2016,2,2,2,1,1512,1518,attached,448,0,FALSE,FALSE,TRUE,TRUE,5713,Gibson Lock,,Port Andrealand,11295,406981
1185,2015,3,2,2,1,1645,1855,attached,498,0,FALSE,FALSE,TRUE,TRUE,14961,Gibson Lock,,Port Andrealand,11295,413279
1186,2013,3,2,2,1,1647,1854,attached,501,0,FALSE,FALSE,TRUE,TRUE,478,Roman Underpass,,Port Andrealand,11295,385564
1187,2015,3,2,2,1,1650,1856,attached,500,0,FALSE,FALSE,TRUE,TRUE,7461,Bush Keys,,Port Andrealand,11295,386821
1188,2015,3,2,2,1,1648,1733,attached,501,0,FALSE,FALSE,TRUE,TRUE,12641,Bush Keys,,Port Andrealand,11295,374854
1189,2013,2,4,3,0,3183,3411,attached,421,0,TRUE,FALSE,TRUE,TRUE,56455,Poole Tunnel,,North Erinville,11510,544321
1190,2016,1,4,2,1,2461,2651,attached,424,0,FALSE,FALSE,TRUE,TRUE,2598,Russell Spring,,West Gregoryview,10750,547471
1191,2016,2,5,3,0,2912,3108,attached,442,0,FALSE,FALSE,TRUE,TRUE,664,Amanda Neck,,West Gregoryview,10750,601023
1192,2016,2,5,3,0,2921,3101,attached,437,0,FALSE,FALSE,TRUE,TRUE,5750,Oneal Junction,,West Gregoryview,10750,584011
1193,2016,1,4,2,1,2458,2661,attached,420,0,FALSE,FALSE,TRUE,TRUE,41688,Olivia Plaza,,West Gregoryview,10750,581490
1194,2014,2,5,3,0,3789,3941,attached,651,0,FALSE,FALSE,TRUE,TRUE,228,Oneal Junction,,West Gregoryview,10750,670950
1195,2014,2,5,3,0,3796,3950,attached,654,0,FALSE,FALSE,TRUE,TRUE,1885,Davis Groves,,West Gregoryview,10750,697407
1196,2016,1,3,2,1,2798,3023,attached,598,0,FALSE,FALSE,TRUE,TRUE,10,Hudson Points,,West Gregoryview,10750,676623
1197,2016,2,4,3,0,2453,2541,attached,679,0,TRUE,FALSE,TRUE,TRUE,4469,Jenkins Corners,,Port Jonathanborough,10250,468716
1198,2015,1,2,1,1,1911,2509,attached,430,0,FALSE,FALSE,TRUE,TRUE,1568,Luna Motorway,2033,Lewishaven,11980,503368
1199,2015,1,2,2,0,2115,2633,attached,449,0,FALSE,FALSE,TRUE,TRUE,26563,Mejia Neck,,Lewishaven,11980,613623
1200,2015,1,2,1,1,1903,2237,attached,441,0,FALSE,FALSE,TRUE,TRUE,41958,Mejia Neck,,Lewishaven,11980,549362
1201,2015,1,3,2,1,2813,2946,attached,586,0,FALSE,FALSE,TRUE,TRUE,593,Combs Crossing,,Port Jonathanborough,10250,612361
1202,2015,2,5,3,0,3443,3562,attached,646,0,FALSE,FALSE,TRUE,TRUE,575,Grant Parkway,,Port Jonathanborough,10250,525422
1203,2014,2,5,3,1,3317,3456,attached,723,0,FALSE,FALSE,TRUE,TRUE,320,Grant Parkway,,Port Jonathanborough,10250,512187
1204,2014,2,5,3,1,3317,3464,attached,723,0,FALSE,FALSE,TRUE,TRUE,69596,Rivera Shoals,,Port Jonathanborough,10250,546838
1205,2016,2,5,3,0,3444,3555,attached,651,0,FALSE,FALSE,TRUE,TRUE,7765,Rivera Shoals,,Port Jonathanborough,10250,522903
1206,2016,2,5,4,0,3842,4231,attached,619,0,FALSE,FALSE,TRUE,TRUE,3201,Rivera Shoals,,Port Jonathanborough,10250,573302
1207,2016,2,5,3,1,3313,3455,attached,720,0,FALSE,FALSE,TRUE,TRUE,51,Anita Mount,,Port Jonathanborough,10250,517859
1208,2014,1,4,2,1,2691,2694,attached,417,0,FALSE,FALSE,TRUE,TRUE,773,Phillips Throughway,,Port Jonathanborough,10250,464941
1209,2015,2,4,2,1,2522,2557,attached,418,0,FALSE,FALSE,TRUE,TRUE,43317,Williams Bypass,,Chadstad,11081,486363
1210,2016,2,3,2,1,2688,2855,attached,438,0,TRUE,FALSE,TRUE,TRUE,3953,Johnson Harbors,,Coletown,11631,592203
1211,2015,2,5,2,0,3817,4178,attached,502,0,TRUE,FALSE,TRUE,TRUE,362,Margaret Curve,,North Erinville,11510,589682
1212,2014,2,4,2,1,3108,3154,attached,734,0,TRUE,FALSE,TRUE,TRUE,3950,Patterson Fort,,Hallfort,11982,468716
1213,2015,2,5,4,1,3604,3877,attached,661,0,TRUE,FALSE,TRUE,TRUE,681,Paul Landing,,Hallfort,11982,475017
1214,2013,2,5,4,1,3599,3885,attached,660,0,TRUE,FALSE,TRUE,TRUE,96693,Paul Landing,,Hallfort,11982,463679
1215,2014,2,5,3,1,3539,3812,attached,661,0,TRUE,FALSE,TRUE,TRUE,19778,Patterson Fort,,Hallfort,11982,555660
1216,2013,2,5,3,1,3541,3822,attached,657,0,TRUE,FALSE,TRUE,TRUE,59670,Paul Landing,,Hallfort,11982,466196
1217,2013,1,2,2,0,1491,1525,attached,422,0,FALSE,FALSE,TRUE,TRUE,14036,Johnson Drives,,East Lucas,11911,296100
1218,2013,1,3,2,1,2684,2995,attached,610,0,TRUE,FALSE,TRUE,TRUE,9910,Anderson Union,,Hallfort,11982,466199
1219,2016,2,5,2,1,3255,3261,attached,621,0,TRUE,FALSE,TRUE,TRUE,5281,Daniel Prairie,,Joshuafurt,10321,540540
1220,2014,1,3,1,1,1657,1801,attached,563,0,FALSE,FALSE,TRUE,TRUE,8979,Clarke Hollow,,South Anthony,10984,395642
1221,2015,1,3,1,1,1659,2085,attached,474,0,FALSE,FALSE,TRUE,TRUE,4532,Clarke Hollow,,South Anthony,10984,406347
1222,2016,1,2,1,1,1660,1964,attached,474,0,FALSE,FALSE,TRUE,TRUE,3958,Clarke Hollow,,South Anthony,10984,406984
1223,2015,1,3,1,1,1661,1790,attached,608,0,FALSE,FALSE,TRUE,TRUE,5004,Jane Glen,,South Anthony,10984,401941
1224,2016,1,2,1,1,1317,1489,attached,431,0,FALSE,FALSE,TRUE,TRUE,684,Jane Glen,,South Anthony,10984,304923
1225,2012,1,2,1,1,1628,1887,attached,509,0,FALSE,FALSE,TRUE,TRUE,430,Clarke Hollow,,South Anthony,10984,415801
1226,2014,2,4,3,0,2593,2717,attached,422,0,FALSE,FALSE,TRUE,TRUE,949,Wade Route,,Chadstad,10808,514711
1227,2015,2,4,3,0,2591,2710,attached,420,0,FALSE,FALSE,TRUE,TRUE,715,Wade Route,,Chadstad,10808,561329
1228,2016,2,4,3,0,2137,2224,attached,423,0,FALSE,FALSE,TRUE,TRUE,46549,Wade Route,,Chadstad,10808,514709
1229,2015,2,3,2,1,3200,3261,attached,675,0,FALSE,FALSE,TRUE,TRUE,885,Scott Crossroad,,North Erinville,11510,508413
1230,1969,1,1,1,0,841,1215,none,0,465,FALSE,FALSE,TRUE,TRUE,2508,Fitzgerald Key,1690,Jeffreyhaven,11913,15121
1231,2015,2,3,2,1,1821,1907,attached,434,0,FALSE,FALSE,TRUE,TRUE,963,Amber Mall,,Chadstad,10272,522897
1232,2015,2,3,2,1,1826,1907,attached,437,0,FALSE,FALSE,TRUE,TRUE,2739,Amber Mall,,Chadstad,10272,509040
1233,2016,2,3,2,1,1825,2093,attached,434,0,TRUE,FALSE,TRUE,TRUE,6033,Joel Ford,,Chadstad,10272,531086
1234,2014,2,4,2,1,2135,2326,attached,412,0,TRUE,FALSE,TRUE,TRUE,413,Joel Ford,,Chadstad,10272,599759
1235,2016,1,4,3,0,2827,2858,attached,595,0,FALSE,FALSE,TRUE,TRUE,87183,Wood Prairie,,Joshuafurt,10321,529198
1236,2013,1,3,2,0,1691,1722,attached,422,0,FALSE,FALSE,TRUE,TRUE,52102,Moss Harbor,,Joshuafurt,10321,418317
1237,2014,1,3,2,0,1696,1714,attached,420,0,FALSE,FALSE,TRUE,TRUE,763,Hart Streets,,Joshuafurt,10321,422729
1238,2014,2,4,2,1,3212,3322,attached,682,0,FALSE,FALSE,TRUE,TRUE,426,Jerry Lakes,,Joshuafurt,10321,504634
1239,2016,2,3,2,1,2662,2730,attached,431,0,FALSE,FALSE,TRUE,TRUE,18032,Ronald Junction,,Coletown,11631,618033
1240,2016,2,3,2,1,1991,1994,attached,459,0,FALSE,FALSE,TRUE,TRUE,8022,Bridges Brook,,Coletown,11631,546840
1241,2016,2,3,2,1,1991,2038,attached,457,0,FALSE,FALSE,TRUE,TRUE,62960,Mitchell Crescent,,Coletown,11631,538651
1242,2015,2,3,2,1,1757,1745,attached,430,0,FALSE,FALSE,TRUE,TRUE,61018,Bridges Brook,,Coletown,11631,526683
1243,2016,2,3,2,1,1668,1698,attached,451,0,FALSE,FALSE,TRUE,TRUE,25058,Bridges Brook,,Coletown,11631,514710
1244,2016,2,3,2,1,2191,2195,attached,438,0,FALSE,FALSE,TRUE,TRUE,9358,Bridges Brook,,Coletown,11631,573297
1245,2014,1,4,2,1,2424,2789,attached,686,0,TRUE,TRUE,TRUE,TRUE,4359,Cruz Station,,West Ann,10748,718827
1246,2016,1,2,2,0,1958,2163,attached,470,0,FALSE,FALSE,TRUE,TRUE,579,Lisa Row,,South Anthony,10984,556924
1247,2015,2,4,2,1,2446,2548,attached,427,0,FALSE,FALSE,TRUE,TRUE,1996,Amanda Station,,North Erinville,11510,476278
1248,2016,2,5,2,1,2781,2817,attached,508,0,FALSE,FALSE,TRUE,TRUE,8132,Amanda Station,,North Erinville,11510,524160
1249,2014,2,4,2,1,2444,2552,attached,424,0,FALSE,FALSE,TRUE,TRUE,8448,Amanda Station,,North Erinville,11510,466199
1250,2015,2,3,2,1,2208,2359,attached,474,0,FALSE,FALSE,TRUE,TRUE,9055,Amanda Station,,North Erinville,11510,450446
1251,2016,2,5,2,1,2779,2823,attached,511,0,FALSE,FALSE,TRUE,TRUE,87804,Amanda Station,,North Erinville,11510,495178
1252,2014,1,5,3,0,2822,3235,attached,429,0,TRUE,FALSE,TRUE,TRUE,409,Shawn Common,,West Gregoryview,10750,637562
1253,2014,1,5,3,0,2821,3235,attached,423,0,TRUE,FALSE,TRUE,TRUE,681,Webb Orchard,,West Gregoryview,10750,621813
1254,2016,2,4,3,0,3136,3337,attached,545,0,TRUE,FALSE,TRUE,TRUE,251,Stanley Island,,West Gregoryview,10750,626850
1255,2016,2,5,3,0,3776,3958,attached,667,0,TRUE,FALSE,TRUE,TRUE,93893,Shawn Fork,,West Gregoryview,10750,691736
1256,2015,2,4,3,0,3143,3339,attached,551,0,TRUE,FALSE,TRUE,TRUE,430,Webb Orchard,,West Gregoryview,10750,636302
1257,2016,2,4,3,0,3136,3333,attached,548,0,TRUE,FALSE,TRUE,TRUE,4874,Webb Orchard,,West Gregoryview,10750,654567
1258,2015,2,3,3,0,3501,3934,attached,675,0,TRUE,FALSE,TRUE,TRUE,130,Jasmine Loop,,Chadstad,10272,842938
1259,2016,2,4,3,0,2732,2816,attached,446,0,FALSE,FALSE,TRUE,TRUE,95298,Michael Hill,,Chadstad,10209,520379
1260,2015,2,3,2,1,2342,2518,attached,462,0,FALSE,FALSE,TRUE,TRUE,9454,Avery Islands,,Lewishaven,11071,468094
1261,2014,2,4,2,1,2022,2055,attached,483,0,TRUE,FALSE,TRUE,TRUE,490,Taylor Coves,,North Erinville,11510,483213
1262,2014,1,2,1,1,1659,1795,attached,471,0,FALSE,FALSE,TRUE,TRUE,66815,Clarke Hollow,,South Anthony,10984,367919
1263,2015,1,2,2,0,2035,2246,attached,586,0,FALSE,FALSE,TRUE,TRUE,3331,Swanson Branch,,Jeffreyhaven,11558,403198
1264,2013,1,2,2,0,1734,1865,attached,454,0,TRUE,FALSE,TRUE,TRUE,8173,Swanson Branch,,Jeffreyhaven,11558,352798
1265,2015,2,3,2,1,1649,1665,attached,383,0,FALSE,FALSE,TRUE,TRUE,1447,Edwin Port,354,East Lucas,11911,289171
1266,2016,2,4,2,1,1967,2054,attached,439,0,FALSE,FALSE,TRUE,TRUE,53775,Edwin Port,2701,East Lucas,11911,337051
1267,2014,2,4,2,1,1725,1744,attached,420,0,FALSE,FALSE,TRUE,TRUE,284,Erin Village,,East Lucas,11911,313108
1268,2016,2,3,2,1,1654,1662,attached,386,0,FALSE,FALSE,TRUE,TRUE,19818,Erin Village,2783,East Lucas,11911,319410
1269,1978,1,3,2,0,2156,2150,none,0,397,FALSE,FALSE,TRUE,TRUE,870,Roger Crest,2786,Wendybury,10250,1264
1270,2016,1,2,2,0,1050,1058,none,0,441,FALSE,FALSE,TRUE,FALSE,28639,Williams River,545,Scottberg,11500,47880
1271,2014,1,3,2,0,1967,2251,attached,407,0,FALSE,TRUE,TRUE,TRUE,9243,Cooper Garden,,Lake Jack,10825,768599
1272,2013,2,3,2,1,1574,1572,attached,456,0,FALSE,FALSE,TRUE,TRUE,56058,Avery Islands,,Lewishaven,11071,330121
1273,2013,2,3,2,1,1599,1598,attached,423,0,FALSE,FALSE,TRUE,TRUE,5837,Avery Islands,,Lewishaven,11071,327603
1274,2014,2,3,2,1,1580,1575,attached,456,0,FALSE,FALSE,TRUE,TRUE,9845,Avery Islands,,Lewishaven,11071,315004
1275,2014,2,5,3,1,3793,3942,attached,657,0,TRUE,FALSE,TRUE,TRUE,343,Vincent Unions,,Port Jonathanborough,10250,522902
1276,2015,2,4,2,1,2969,3069,attached,724,0,TRUE,FALSE,TRUE,TRUE,18250,Vincent Unions,,Port Jonathanborough,10250,483207
1277,2015,2,5,3,1,3799,3944,attached,659,0,TRUE,FALSE,TRUE,TRUE,851,Michele Crest,,Port Jonathanborough,10250,527939
1278,2014,2,5,2,1,3108,3163,attached,712,0,TRUE,FALSE,TRUE,TRUE,4735,Brian Divide,,Amystad,11682,486359
1279,2014,2,4,2,1,2969,3069,attached,726,0,TRUE,FALSE,TRUE,TRUE,432,Vincent Unions,,Port Jonathanborough,10250,485104
1280,2014,2,5,3,1,3524,3632,attached,709,0,TRUE,FALSE,TRUE,TRUE,674,Vincent Unions,,Port Jonathanborough,10250,548103
1281,2015,2,4,2,1,2962,3075,attached,726,0,TRUE,FALSE,TRUE,TRUE,39700,Vincent Unions,,Port Jonathanborough,10250,480058
1282,2014,2,5,3,0,3428,3530,attached,624,0,TRUE,FALSE,TRUE,TRUE,3416,Timothy Coves,,Chadstad,10272,628738
1283,2015,2,5,3,0,3422,3846,attached,627,0,TRUE,FALSE,TRUE,TRUE,772,Flores Fort,,Chadstad,10272,679767
1284,2015,1,4,2,1,2563,2675,attached,610,0,TRUE,FALSE,TRUE,TRUE,6490,Flores Fort,,Chadstad,10272,608583
1285,2014,2,5,4,1,4254,4375,attached,591,0,FALSE,TRUE,TRUE,TRUE,6869,Timothy Path,,Davidfort,10701,573299
1286,2014,1,3,2,1,2341,2405,attached,642,0,FALSE,FALSE,TRUE,TRUE,86562,Boyle Brooks,,Davidfort,10701,461160
1287,2016,2,5,4,1,4248,4374,attached,586,0,FALSE,FALSE,TRUE,TRUE,49464,Rodriguez Extension,,Davidfort,10701,629996
1288,2014,2,5,3,1,3689,3690,attached,646,0,FALSE,FALSE,TRUE,TRUE,812,Tina Vista,,Davidfort,10701,508411
1289,2015,1,3,2,1,2350,2413,attached,648,0,FALSE,FALSE,TRUE,TRUE,6431,Tina Vista,,Davidfort,10701,466827
1290,2015,2,4,3,0,3258,3303,attached,642,0,FALSE,FALSE,TRUE,TRUE,3402,Boyle Brooks,,Davidfort,10701,461791
1291,2016,1,3,2,1,2914,3500,attached,566,0,TRUE,FALSE,TRUE,TRUE,673,Sanchez Pike,,Lewishaven,11071,669064
1292,2015,1,4,3,0,2954,3241,attached,654,0,TRUE,FALSE,TRUE,TRUE,746,Richard Course,,Lewishaven,11071,587160
1293,2012,1,2,2,0,1290,1297,none,0,592,FALSE,FALSE,TRUE,TRUE,9850,Isaiah Club,,Lewishaven,11980,87573
1294,2013,2,3,2,1,1606,1716,attached,425,0,FALSE,FALSE,TRUE,TRUE,43001,Wilson Brook,,North Erinville,11510,340200
1295,2015,2,3,2,1,2415,2470,attached,609,0,FALSE,FALSE,TRUE,TRUE,9814,Karen Rapids,,Coletown,10555,539907
1296,2016,1,2,2,0,1902,2125,attached,589,0,FALSE,FALSE,TRUE,TRUE,7514,Brent Extensions,,Jeffreyhaven,11558,345243
1297,2016,2,3,2,1,2773,2801,attached,468,0,TRUE,FALSE,TRUE,TRUE,85406,Tracie Inlet,,Coletown,10555,525417
1298,2014,2,3,2,1,2023,2119,attached,482,0,TRUE,FALSE,TRUE,TRUE,42451,Tracie Inlet,,Coletown,10555,475016
1299,2015,2,3,2,1,2630,2670,attached,604,0,FALSE,FALSE,TRUE,TRUE,402,Holmes Mall,,Coletown,10555,597237
1300,2016,1,2,2,0,1632,1766,attached,457,0,TRUE,FALSE,TRUE,TRUE,2031,Duffy Mill,,Jeffreyhaven,11558,355952
1301,2016,1,2,2,0,1735,1771,attached,459,0,TRUE,FALSE,TRUE,TRUE,7942,Duffy Mill,,Jeffreyhaven,11558,349650
